Category: All categories

Time,Trump: (United States),Kamala Harris: (United States),Election: (United States)
2024-09-28T22:04:00-05:00,53,12,11
2024-09-28T22:12:00-05:00,48,11,10
2024-09-28T22:20:00-05:00,54,12,10
2024-09-28T22:28:00-05:00,48,17,9
2024-09-28T22:36:00-05:00,59,21,10
2024-09-28T22:44:00-05:00,55,20,10
2024-09-28T22:52:00-05:00,57,16,10
2024-09-28T23:00:00-05:00,54,14,11
2024-09-28T23:08:00-05:00,49,12,11
2024-09-28T23:16:00-05:00,59,13,11
2024-09-28T23:24:00-05:00,52,13,11
2024-09-28T23:32:00-05:00,52,13,11
2024-09-28T23:40:00-05:00,53,13,9
2024-09-28T23:48:00-05:00,48,13,10
2024-09-28T23:56:00-05:00,48,16,10
2024-09-29T00:04:00-05:00,49,15,10
2024-09-29T00:12:00-05:00,49,13,11
2024-09-29T00:20:00-05:00,47,12,10
2024-09-29T00:28:00-05:00,48,13,10
2024-09-29T00:36:00-05:00,46,12,11
2024-09-29T00:44:00-05:00,44,11,10
2024-09-29T00:52:00-05:00,45,11,8
2024-09-29T01:00:00-05:00,44,11,11
2024-09-29T01:08:00-05:00,42,12,11
2024-09-29T01:16:00-05:00,43,13,13
2024-09-29T01:24:00-05:00,40,11,12
2024-09-29T01:32:00-05:00,40,13,13
2024-09-29T01:40:00-05:00,41,11,12
2024-09-29T01:48:00-05:00,40,12,14
2024-09-29T01:56:00-05:00,37,12,11
2024-09-29T02:04:00-05:00,42,11,10
2024-09-29T02:12:00-05:00,43,13,11
2024-09-29T02:20:00-05:00,39,11,10
2024-09-29T02:28:00-05:00,39,11,10
2024-09-29T02:36:00-05:00,41,11,9
2024-09-29T02:44:00-05:00,41,11,8
2024-09-29T02:52:00-05:00,42,11,10
2024-09-29T03:00:00-05:00,38,12,11
2024-09-29T03:08:00-05:00,39,10,11
2024-09-29T03:16:00-05:00,39,11,12
2024-09-29T03:24:00-05:00,40,11,12
2024-09-29T03:32:00-05:00,45,12,12
2024-09-29T03:40:00-05:00,40,9,13
2024-09-29T03:48:00-05:00,41,10,10
2024-09-29T03:56:00-05:00,38,12,8
2024-09-29T04:04:00-05:00,43,10,10
2024-09-29T04:12:00-05:00,40,9,10
2024-09-29T04:20:00-05:00,41,10,10
2024-09-29T04:28:00-05:00,44,11,11
2024-09-29T04:36:00-05:00,45,13,10
2024-09-29T04:44:00-05:00,45,13,10
2024-09-29T04:52:00-05:00,48,13,12
2024-09-29T05:00:00-05:00,52,12,11
2024-09-29T05:08:00-05:00,53,12,13
2024-09-29T05:16:00-05:00,46,12,14
2024-09-29T05:24:00-05:00,54,13,12
2024-09-29T05:32:00-05:00,57,13,11
2024-09-29T05:40:00-05:00,51,13,12
2024-09-29T05:48:00-05:00,54,14,13
2024-09-29T05:56:00-05:00,58,14,12
2024-09-29T06:04:00-05:00,58,13,11
2024-09-29T06:12:00-05:00,61,13,13
2024-09-29T06:20:00-05:00,59,13,13
2024-09-29T06:28:00-05:00,61,14,13
2024-09-29T06:36:00-05:00,61,14,14
2024-09-29T06:44:00-05:00,60,14,13
2024-09-29T06:52:00-05:00,60,14,14
2024-09-29T07:00:00-05:00,63,14,12
2024-09-29T07:08:00-05:00,67,16,15
2024-09-29T07:16:00-05:00,62,15,13
2024-09-29T07:24:00-05:00,61,15,12
2024-09-29T07:32:00-05:00,62,14,13
2024-09-29T07:40:00-05:00,62,16,14
2024-09-29T07:48:00-05:00,63,15,13
2024-09-29T07:56:00-05:00,62,16,14
2024-09-29T08:04:00-05:00,63,15,15
2024-09-29T08:12:00-05:00,64,16,13
2024-09-29T08:20:00-05:00,62,16,14
2024-09-29T08:28:00-05:00,55,15,13
2024-09-29T08:36:00-05:00,61,14,13
2024-09-29T08:44:00-05:00,57,15,15
2024-09-29T08:52:00-05:00,57,15,13
2024-09-29T09:00:00-05:00,54,15,12
2024-09-29T09:08:00-05:00,57,15,13
2024-09-29T09:16:00-05:00,63,14,14
2024-09-29T09:24:00-05:00,60,15,13
2024-09-29T09:32:00-05:00,55,16,13
2024-09-29T09:40:00-05:00,57,15,14
2024-09-29T09:48:00-05:00,55,15,14
2024-09-29T09:56:00-05:00,54,14,13
2024-09-29T10:04:00-05:00,53,13,13
2024-09-29T10:12:00-05:00,49,14,13
2024-09-29T10:20:00-05:00,47,16,12
2024-09-29T10:28:00-05:00,51,14,14
2024-09-29T10:36:00-05:00,49,12,14
2024-09-29T10:44:00-05:00,46,13,12
2024-09-29T10:52:00-05:00,54,13,13
2024-09-29T11:00:00-05:00,47,13,13
2024-09-29T11:08:00-05:00,47,12,13
2024-09-29T11:16:00-05:00,47,12,13
2024-09-29T11:24:00-05:00,47,12,13
2024-09-29T11:32:00-05:00,47,15,13
2024-09-29T11:40:00-05:00,45,12,13
2024-09-29T11:48:00-05:00,52,13,12
2024-09-29T11:56:00-05:00,47,13,13
2024-09-29T12:04:00-05:00,47,12,15
